"","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","PlotID0","CoorX","CoorY","Origen"
"44107",22,909,NA,931022,12,15,4,4,2,"S",931105,13,"0209","2","0209J31","681","4707","93","044","4","4","0","0","10","10","5","5","9","1","00","75","25","25","0","4","1","3",NA,"21",NA,"4",NA,"3",NA,"91",NA,"2",NA,"2","25","3","1",NA,"21","3","1",NA,"91","3","6",NA,"25","21","91","37","44",NA,NA,"2","02","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","310",NA,"8.50",NA,"22.909",681000,4707000,22
"44125",22,927,NA,931004,12,26,4,6,3,"S",931020,13,"0209","2","0209J32","678","4705","93","044","1","1","0","0","08","08","5","5","9","1","00","65","25","21","0","6","0","4","21","91","0","3","0","2",NA,"25",NA,"1",NA,"4","21","3","1",NA,"91","3","6",NA,"25","3","1",NA,"21","91","25","37","99","78","76","2","02","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,"P204","P305","370",NA,"8.25",NA,"22.927",678000,4705000,22
"44130",22,932,NA,931004,12,15,4,6,8,"S",931020,13,"0209","2","0209J26","696","4705","93","130","1","1","0","0","08","08","5","4","9","1","00","55","25","25","0","5","1","3",NA,"21",NA,"3",NA,"3",NA,"37",NA,"1",NA,"2","25","3","1",NA,"21","3","1",NA,"37","3","6",NA,"25","21","37","91","99","78","44","2","05","G","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,NA,"G204","0",NA,"4.50",NA,"22.932",696000,4705000,22
"44153",22,955,NA,940119,1,18,4,6,3,"S",940119,1,"0209","2","0209K24","677","4702","93","044","6","6","0","0","07","07","5","5","9","1","00","50","25","25","0","5","0","3","21","21","0","3","0","3",NA,"91",NA,"2",NA,"2","25","3","1",NA,"21","3","1",NA,"91","3","6",NA,"25","21","91","37","99","44","78","2","02","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","70",NA,"9.50",NA,"22.955",677000,4702000,22
"44174",22,976,NA,931022,12,13,4,6,2,"S",931110,13,"0209","2","0209K23","678","4700","93","044","6","6","0","0","08","08","5","5","9","1","00","60","25","25","0","5","0","4","21","91","0","3","0","2",NA,"21",NA,"1",NA,"4","25","3","1",NA,"91","3","6",NA,"21","3","1",NA,"25","91","21","37","99","44","15","2","03","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","4",NA,NA,"P204","250",NA,"8.75",NA,"22.976",678000,4700000,22
"44176",22,978,NA,931025,12,13,4,6,3,"S",931110,13,"0209","2","0209K22","682","4700","93","173","2","2","0","0","06","06","3","5","9","1","00","60","25","21","0","4","0","3","21","91","0","3","0","2",NA,"25",NA,"2",NA,"3","21","3","1",NA,"91","3","6",NA,"25","3","1",NA,"21","91","25","44","37","99","57","2","03","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","50",NA,"7.25",NA,"22.978",682000,4700000,22
"44183",22,985,NA,931214,12,28,4,6,5,"S",940103,13,"0209","2","0209K19","690","4700","93","173","2","2","0","0","07","07","5","5","9","1","00","60","25","21","0","6","0","4","21","25","0","3","0","4",NA,"44",NA,"1",NA,"3","21","3","1",NA,"25","3","1",NA,"44","3","6",NA,"21","25","44","91","15","99","78","2","02","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","215",NA,"10.75",NA,"22.985",690000,4700000,22
"44194",22,996,NA,940128,13,27,4,6,4,"S",940203,12,"0209","2","0209K20","688","4699","93","173","6","6","0","0","06","06","2","5","9","1","00","50","25","25","0","4","0","4","21","91","0","4","0","2",NA,"21",NA,"2",NA,"4","25","3","1",NA,"91","3","6",NA,"21","3","1",NA,"25","91","21","37","99","44","78","2","02","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,NA,"01","250",NA,"11.00",NA,"22.996",688000,4699000,22
"44195",22,997,NA,940128,13,53,4,4,4,"S",940203,12,"0209","2","0209K20","689","4699","93","173","6","6","0","0","07","07","3","4","9","1","00","80","25","25","0","4","0","3","21","21","0","3","0","3",NA,"91",NA,"2",NA,"2","25","3","1",NA,"21","3","1",NA,"91","3","6",NA,"25","21","91","44","15","99","37","2","02","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","305",NA,"6.00",NA,"22.997",689000,4699000,22
"44197",22,999,NA,940128,13,22,4,3,2,"S",940203,12,"0209","2","0209L67","678","4698","93","173","2","2","0","0","11","11","5","5","9","1","00","30","25","21","0","4","0","3","21","91","0","4","0","2",NA,"25",NA,"2",NA,"3","21","3","1",NA,"91","3","6",NA,"25","3","1",NA,"21","91","25","37","15","99",NA,"2","02","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,NA,"P204","30",NA,"10.50",NA,"22.999",678000,4698000,22
