"Var1" "Freq"
"897" "95,255" 1
"898" "95,258" 1
"899" "99,255" 1
"900" "99,294" 1
"901" "13,97" 2
"902" "14,45,77" 2
"903" "17,26" 2
"904" "18,21" 2
"905" "18,25" 2
"906" "21,25,76" 2
"907" "21,258" 2
"908" "21,31,44" 2
"909" "21,35" 2
"910" "21,37" 2
"911" "21,43,657" 2
"912" "21,44,243" 2
"913" "21,45,68" 2
"914" "21,46" 2
"915" "21,57" 2
"916" "21,657" 2
"917" "21,71,278" 2
"918" "21,71,476" 2
"919" "21,71,576" 2
"920" "22,25,44" 2
"921" "22,657" 2
"922" "23,236" 2
"923" "23,24,25" 2
"924" "23,25,45" 2
"925" "23,25,46" 2
"926" "23,27" 2
"927" "23,28" 2
"928" "23,46,68" 2
"929" "23,68" 2
"930" "24,236" 2
"931" "24,25,26,45" 2
"932" "24,25,45,243" 2
"933" "24,25,68" 2
"934" "24,32" 2
"935" "24,51" 2
"936" "24,95" 2
"937" "243,255" 2
"938" "25,26,38" 2
"939" "25,276" 2
"940" "25,36" 2
"941" "25,37" 2
"942" "25,37,44" 2
"943" "25,38,237" 2
"944" "25,38,44" 2
"945" "25,41" 2
"946" "25,42" 2
"947" "25,44,476" 2
"948" "25,44,66" 2
"949" "25,476" 2
"950" "25,54" 2
"951" "255,256" 2
"952" "258,357" 2
"953" "26,237" 2
"954" "26,29" 2
"955" "26,34" 2
"956" "26,41,54" 2
"957" "26,41,57" 2
"958" "26,41,61,72" 2
"959" "26,42" 2
"960" "26,45,243" 2
"961" "26,45,68" 2
"962" "26,46,66" 2
"963" "26,46,68" 2
"964" "26,54,61" 2
"965" "26,54,72" 2
"966" "26,61,273" 2
"967" "26,64" 2
"968" "26,72,273" 2
"969" "27,61" 2
"970" "28,215" 2
"971" "28,41,48" 2
"972" "28,41,71" 2
"973" "28,54,55" 2
"974" "28,54,92" 2
"975" "28,657" 2
"976" "28,73" 2
"977" "28,74,92" 2
"978" "28,81,294" 2
"979" "294,495" 2
"980" "34,35" 2
"981" "35,41,54" 2
"982" "35,43" 2
"983" "37,44" 2
"984" "4,45" 2
"985" "41,255" 2
"986" "41,273,657" 2
"987" "41,42,43" 2
"988" "41,42,71" 2
"989" "41,43,54" 2
"990" "41,45,72" 2
"991" "41,46,72" 2
"992" "41,48,92" 2
"993" "41,54,61" 2
"994" "41,54,73" 2
"995" "41,576" 2
"996" "41,61,357" 2
"997" "41,61,94" 2
"998" "41,65,71" 2
"999" "41,68" 2
"1000" "41,71,273" 2
"1001" "41,71,73" 2
"1002" "41,72,73" 2
"1003" "41,74,215" 2
"1004" "41,74,357" 2
"1005" "41,76" 2
"1006" "42,215" 2
"1007" "42,277" 2
"1008" "42,378" 2
"1009" "42,43,44" 2
"1010" "42,43,72" 2
"1011" "42,45,243" 2
"1012" "42,45,68" 2
"1013" "42,476" 2
"1014" "42,52" 2
"1015" "42,52,71" 2
"1016" "42,54,273" 2
"1017" "42,58" 2
"1018" "42,65,71" 2
"1019" "42,71,576" 2
"1020" "42,72,273" 2
"1021" "43,255" 2
"1022" "43,258" 2
"1023" "43,44,55" 2
"1024" "43,46,72" 2
"1025" "43,48" 2
"1026" "43,54,55" 2
"1027" "43,54,657" 2
"1028" "43,55,72" 2
"1029" "43,68,72" 2
"1030" "43,72,273" 2
"1031" "43,95" 2
"1032" "44,357" 2
"1033" "44,377" 2
"1034" "44,45,66" 2
"1035" "44,51" 2
"1036" "44,54,255" 2
"1037" "44,71,76" 2
"1038" "44,72" 2
"1039" "45,243,255" 2
"1040" "45,258" 2
"1041" "45,276" 2
"1042" "45,357" 2
"1043" "45,395" 2
"1044" "45,46,66" 2
"1045" "45,52,243" 2
"1046" "45,52,76" 2
"1047" "45,54" 2
"1048" "45,62" 2
"1049" "45,65" 2
"1050" "45,68,94" 2
"1051" "45,71,72" 2
"1052" "45,72,243" 2
"1053" "45,74" 2
"1054" "45,94" 2
"1055" "47,54" 2
"1056" "47,55" 2
"1057" "48,79" 2
"1058" "51,55,58" 2
"1059" "51,58,257" 2
"1060" "52,255,373" 2
"1061" "53,257" 2
"1062" "53,55" 2
"1063" "53,62" 2
"1064" "54,273,657" 2
"1065" "54,576" 2
"1066" "54,58,255" 2
"1067" "54,58,257" 2
"1068" "54,58,357" 2
"1069" "54,657" 2
"1070" "54,72,73" 2
"1071" "54,74,657" 2
"1072" "54,92" 2
"1073" "54,97" 2
"1074" "55,215" 2
"1075" "55,257,258" 2
"1076" "55,56" 2
"1077" "55,57" 2
"1078" "55,576" 2
"1079" "55,74" 2
"1080" "57,58,76" 2
"1081" "57,74" 2
"1082" "58,395" 2
"1083" "58,74" 2
"1084" "58,757" 2
"1085" "58,857" 2
"1086" "61,657" 2
"1087" "65,71,273" 2
"1088" "71,255,377" 2
"1089" "71,256" 2
"1090" "71,277" 2
"1091" "71,373" 2
"1092" "71,72,74" 2
"1093" "71,74,255" 2
"1094" "71,74,273" 2
"1095" "71,77" 2
"1096" "72,74,257" 2
"1097" "74,76" 2
"1098" "74,92" 2
"1099" "79,92" 2
"1100" "8,44,45" 2
"1101" "8,45,237" 2
"1102" "8,46" 2
"1103" "8,46,47" 2
"1104" "8,66" 2
"1105" "81,82,83,84" 2
"1106" "81,82,84,294" 2
"1107" "81,84,294" 2
"1108" "82,84,294" 2
"1109" "84,294" 2
