"","Pvalor","PlotID"
"298","3.05904698964039e-21","1 . 810"
"299","0.015949764226259","1 . 824"
"301","4.53817258518069e-19","1 . 826"
"302","8.4943079376238e-22","1 . 829"
"303","4.46314975185362e-11","1 . 836"
"305","7.26183146529044e-32","1 . 839"
"308","1.7592334116893e-37","1 . 860"
"310","3.63117305688909e-10","1 . 864"
"311","4.83292964997477e-23","1 . 866"
"312","4.82582314934664e-12","1 . 867"
"313","8.40367427826315e-24","1 . 872"
"316","6.22753833980478e-25","1 . 877"
"319","7.43519267769201e-25","1 . 883"
"321","5.56073646126375e-33","1 . 889"
"323","3.29096170396828e-15","1 . 894"
"325","7.28724413824938e-10","1 . 896"
"326","5.39221947906019e-17","1 . 897"
"328","8.2012481906712e-08","1 . 906"
"329","2.64108719889918e-32","1 . 908"
"330","3.15087776255067e-17","1 . 910"
"331","4.97801463788594e-14","1 . 914"
"332","3.69022688264805e-11","1 . 918"
"333","7.47404352125647e-17","1 . 920"
"334","8.50750673966558e-32","1 . 923"
"335","4.42649822626749e-19","1 . 924"
"338","3.44304505866982e-33","1 . 930"
"339","2.11292726139664e-24","1 . 938"
"340","5.3676142081378e-57","1 . 940"
"345","2.90397299092734e-23","1 . 978"
"347","5.81031728900519e-35","1 . 987"
