"","Pvalor","PlotID"
"654","0.02","9.2548.A.1"
"655","0","9.2555.A.1"
"656","0","9.2562.A.1"
"657","0","9.2584.A.4"
"658","0.01","9.2588.A.1"
"659","0","9.2600.A.1"
"660","0.03","9.2606.A.1"
"661","0","9.2607.A.1"
"662","0","9.2628.A.1"
"663","0","9.2634.A.1"
"664","0","9.2667.A.1"
"665","0","9.2668.A.1"
"666","0","9.2680.A.4"
"667","0","9.2687.A.1"
"668","0","9.3002.A.1"
"669","0","9.3008.A.1"
"670","0","9.3010.A.1"
"671","0","9.3033.A.4"
"672","0","9.3034.A.1"
"673","0.01","9.3038.A.1"
"674","0","9.3044.A.1"
"675","0","9.3048.A.1"
"676","0","9.3060.A.4"
"677","0","9.3067.A.1"
"678","0","9.3071.A.1"
"679","0","9.3075.A.1"
"680","0","9.3087.A.1"
"681","0","9.3088.A.1"
"682","0.03","9.3094.A.1"
"683","0","9.3106.A.4C"
"684","0","9.3121.A.1"
"685","0","9.3139.A.1"
"686","0","9.3140.A.1"
"687","0.07","9.3146.A.1"
"688","0","9.3147.A.4"
"689","0","9.3160.A.1"
"690","0","9.3169.A.1"
"691","0.1","9.3176.A.1"
"692","0","9.3177.A.1"
"693","0","9.3181.A.1"
"694","0","9.3184.A.1"
"695","0","9.3188.A.1"
"696","0.01","9.3192.A.1"
"697","0","9.3207.A.4"
"698","0","9.3228.A.1"
"699","0","9.3236.A.1"
"700","0.01","9.3238.A.1"
"701","0","9.3239.A.1"
"702","0","9.3280.A.1"
"703","0","9.3321.A.1"
"704","0","9.3327.A.1"
"705","0.25","9.3336.A.1"
"706","0","9.3338.A.1"
"707","0","9.3344.A.4"
"708","0","9.3362.A.1"
"709","0","9.3367.A.1"
"710","0","9.3377.A.1"
"711","0","9.3390.A.1"
"712","0","9.3398.A.1"
"713","0.09","9.3403.A.1"
"714","0","9.3414.A.1"
"715","0","9.3419.A.1"
"716","0","9.3434.A.1"
"717","0","9.3464.A.1"
"718","0","9.3465.A.1"
"719","0.01","9.3472.A.4"
"720","0","9.3475.A.1"
"721","0","9.3479.A.1"
"722","0","9.3480.A.1"
"723","0.02","9.3489.A.1"
"724","0","9.3498.A.1"
"725","0","9.3499.A.1"
"726","0.65","9.3505.A.1"
"727","0","9.3530.A.1"
"728","0.02","9.3561.N.N"
"729","0","9.3578.N.N"
"730","0","9.3582.N.N"
"731","0","9.3584.N.N"
"732","0","9.3617.N.N"
"733","0","9.3645.N.N"
"734","0","9.3648.N.N"
"735","0","9.3662.N.N"
"736","0","9.3669.N.N"
"737","0","9.3673.N.N"
"738","0","9.3675.N.N"
"739","0","9.3679.N.N"
"740","0.01","9.3682.N.N"
"741","0.03","9.3686.N.N"
"742","0.1","9.3703.N.N"
"743","0","9.3712.N.N"
"744","0.02","24.16.A.1"
"745","0.02","24.18.A.1"
"746","0","24.23.A.1"
"747","0","24.26.A.4"
"748","0","24.29.A.1"
"749","0","24.38.A.4"
"750","0","24.48.A.1"
"751","0","24.54.A.1"
"752","0","24.56.A.1"
"753","0.04","24.57.A.1"
"754","0.03","24.62.A.1"
"755","0","24.63.A.4"
"756","0.06","24.65.A.1"
"757","0.08","24.68.A.4"
"758","0.01","24.72.A.1"
"759","0","24.76.A.1"
"760","0","24.78.A.1"
"761","0","24.82.A.1"
"762","0","24.85.A.1"
"763","0.05","24.86.A.1"
"764","0","24.88.A.1"
"765","0","24.89.A.1"
"766","0.02","24.90.A.1"
"767","0.01","24.95.A.1"
"768","0","24.96.A.4"
"769","0.02","24.98.A.1"
"770","0","24.99.A.1"
"771","0","24.101.A.1"
"772","0.12","24.106.A.1"
"773","0","24.116.A.1"
"774","0","24.126.A.4"
"775","0","24.129.A.1"
"776","0","24.130.A.1"
"777","0","24.139.A.4"
"778","0","24.141.A.1"
"779","0","24.142.A.1"
"780","0","24.145.A.1"
"781","0","24.156.A.1"
"782","0","24.157.A.1"
"783","0","24.159.A.1"
"784","0","24.160.A.1"
"785","0.01","24.161.A.1"
"786","0","24.162.A.1"
"787","0","24.170.A.1"
"788","0","24.173.A.1"
"789","0.04","24.175.A.1"
"790","0","24.177.A.1"
"791","0.03","24.185.A.1"
"792","0","24.187.A.1"
"793","0","24.191.A.1"
"794","0","24.197.A.1"
"795","0","24.198.A.1"
"796","0","24.200.A.1"
"797","0","24.205.A.1"
"798","0","24.207.A.1"
"799","0.01","24.222.A.4"
"800","0","24.232.A.1"
"801","0","24.233.A.1"
"802","0","24.234.A.4"
"803","0","24.244.A.1"
"804","0","24.246.A.1"
"805","0","24.257.A.1"
"806","0","24.264.A.1"
"807","0","24.267.A.4"
"808","0","24.275.A.1"
"809","0","24.279.A.1"
"810","0","24.287.A.1"
"811","0","24.290.A.1"
"812","0","24.291.A.1"
"813","0","24.295.A.1"
"814","0","24.298.A.1"
"815","0","24.315.A.1"
"816","0.19","24.320.A.1"
"817","0","24.329.A.1"
"818","0","24.333.A.1"
"819","0.07","24.335.A.1"
"820","0","24.336.A.1"
"821","0.02","24.338.A.1"
"822","0","24.343.A.1"
"823","0","24.351.A.4"
"824","0","24.358.A.1"
"825","0","24.370.A.1"
"826","0","24.378.A.1"
"827","0","24.386.A.1"
"828","0","24.389.A.1"
"829","0.03","24.391.A.1"
"830","0.05","24.397.A.1"
"831","0.01","24.400.A.1"
"832","0","24.403.A.1"
"833","0","24.409.A.1"
"834","0.05","24.412.A.1"
"835","0.07","24.417.A.1"
"836","0.1","24.429.A.1"
"837","0","24.433.A.4"
"838","0","24.440.A.1"
"839","0.01","24.445.A.1"
"840","0","24.449.A.1"
"841","0.04","24.450.A.4"
"842","0","24.456.A.1"
"843","0","24.460.A.1"
"844","0","24.464.A.1"
"845","0","24.467.A.4"
"846","0","24.469.A.4"
"847","0","24.470.A.1"
"848","0","24.471.A.4"
"849","0","24.472.A.4"
"850","0","24.474.A.1"
"851","0","24.478.A.1"
"852","0","24.481.A.1"
"853","0","24.485.A.1"
"854","0","24.500.A.1"
"855","0","24.524.A.1"
"856","0","24.529.A.1"
"857","0.01","24.563.A.1"
"858","0","24.568.A.1"
"859","0","24.584.A.1"
"860","0","24.592.A.1"
"861","0","24.604.A.1"
"862","0","24.607.A.1"
"863","0","24.612.A.1"
"864","0","24.615.A.4"
"865","0","24.619.A.6C"
"866","0","24.634.A.4C"
"867","0.02","24.641.A.1"
"868","0","24.645.A.1"
"869","0","24.647.A.1"
"870","0","24.648.A.4"
"871","0","24.659.A.1"
"872","0.02","24.667.A.1"
"873","0.04","24.668.A.1"
"874","0.09","24.669.A.1"
"875","0","24.679.A.4"
"876","0","24.681.A.1"
"877","0","24.685.A.1"
"878","0","24.688.A.4C"
"879","0","24.696.A.1"
"880","0","24.703.A.1"
"881","0","24.707.A.1"
"882","0","24.714.A.1"
"883","0","24.726.A.1"
"884","0","24.740.A.4"
"885","0","24.747.A.4"
"886","0","24.768.A.1"
"887","0","24.771.A.1"
"888","0","24.774.A.1"
"889","0","24.775.A.1"
"890","0","24.781.A.1"
"891","0","24.790.A.1"
"892","0","24.791.A.1"
"893","0","24.802.A.1"
"894","0","24.819.A.4"
"895","0","24.827.A.1"
"896","0","24.829.A.1"
"897","0","24.843.A.1"
"898","0.02","24.844.A.1"
"899","0","24.851.A.1"
"900","0","24.857.A.1"
"901","0","24.859.A.1"
"902","0","24.874.A.4"
"903","0","24.890.A.4"
"904","0","24.891.A.1"
"905","0","24.898.A.1"
"906","0","24.909.A.4"
"907","0","24.910.A.1"
"908","0.19","24.915.A.1"
"909","0","24.928.A.1"
"910","0","24.938.A.4"
"911","0","24.944.A.1"
"912","0","24.979.A.1"
"913","0","24.982.A.1"
"914","0","24.992.A.4"
"915","0","24.1000.A.1"
"916","0.04","24.1003.A.1"
"917","0.02","24.1004.A.1"
"918","0.37","24.1006.A.1"
"919","0.02","24.1012.A.1"
"920","0.17","24.1013.A.1"
"921","0.05","24.1014.A.1"
"922","0","24.1015.A.1"
"923","0.13","24.1016.A.1"
"924","0","24.1019.A.1"
"925","0","24.1034.A.1"
"926","0","24.1046.A.1"
"927","0.04","24.1047.A.1"
