"","PlotID","G","N","Especie","G.e","N.e","porcentajeG","porcentejeN","PlotID0"
"251","1.1136",32.2815956666667,1742.35758143981,71,23.5341956666667,1091.59070301961,0.729028264577628,0.626502111075024,"9.995"
"259","1.1139",10.550825,700.281749604339,44,3.6208,190.985931710274,0.343176955356572,0.272727272727273,"9.995"
"261","1.1139",10.550825,700.281749604339,71,6.219025,381.971863420549,0.589434949399692,0.545454545454546,"9.995"
"276","1.1149",12.61256,92.2391314630362,44,5.26491911111111,34.5189387683755,0.417434613679627,0.374233128834356,"9.995"
"277","1.1149",12.61256,92.2391314630362,71,7.34764088888889,57.7201926946607,0.582565386320373,0.625766871165644,"9.995"
"310","1.1165",22.374355,1633.56633589521,44,10.999106,832.698662256796,0.491594327523631,0.509742790335152,"9.995"
"311","1.1165",22.374355,1633.56633589521,71,7.695499,387.064821599489,0.343942830977697,0.236944660950896,"9.995"
"322","1.1175",14.1214861111111,853.494908154137,44,2.994,381.971863420549,0.212017345514666,0.447538538040776,"9.995"
"323","1.1175",14.1214861111111,853.494908154137,71,9.12396111111111,248.706124404935,0.646104881548704,0.291397314768772,"9.995"
"333","1.118",22.8134746666667,416.066389007346,28,14.0764191111111,101.293279336709,0.617022146638562,0.243454607276437,"9.995"
"335","1.118",22.8134746666667,416.066389007346,43,7.14470555555556,268.795014999645,0.31317919168161,0.64603876232574,"9.995"
"347","1.1190",18.238167,713.155616112217,44,11.738534,634.214764338637,0.643624658113943,0.889307677048205,"9.995"
"348","1.1190",18.238167,713.155616112217,71,5.621408,15.278874536822,0.308222202373736,0.0214243205713152,"9.995"
"351","1.1191",27.6506537777778,194.664179283954,43,6.937916,35.6507072525846,0.250913271554391,0.183139534883721,"9.995"
"352","1.1191",27.6506537777778,194.664179283954,44,20.7127377777778,159.013472031369,0.749086728445609,0.816860465116279,"9.995"
"368","1.120",21.8981653333333,751.352802454272,21,8.77802088888889,316.329291336425,0.400856453281363,0.421012991903596,"9.995"
"369","1.120",21.8981653333333,751.352802454272,44,13.1201444444444,435.023511117847,0.599143546718637,0.578987008096404,"9.995"
"373","1.1201",18.4569283333333,1686.19357041093,71,12.7395533333333,1116.77255179326,0.690231500239702,0.662303884554073,"9.995"
"374","1.1201",18.4569283333333,1686.19357041093,76,3.0594,155.618166578742,0.165758892527892,0.0922896216125514,"9.995"
