"","X","Provincia","Estadillo","nArbol","Tipo","OrdenIFActual","bearing","distance","species","dbh_1","dbh_2","Calidad","Forma","height","ParEsp","PlotID0","INVENTORY_ID","PLOT_ID_short","PLOT_ID","TREE_ID_IFN2","TREE_ID","dbh","expan","g","slenderness","dead"
"22446",12813,1,762,35,NA,35,280,"14,3",21,317,339,2,2,17,NA,1.762,"IFN2","1_762","1_762","1_762_35","IFN2_1_762_35",32.8,14.1471060526129,844.962760109511,51.8292682926829,0
"22447",12814,1,762,36,NA,36,291,"08,0",21,287,292,2,2,17.5,NA,1.762,"IFN2","1_762","1_762","1_762_36","IFN2_1_762_36",28.95,14.1471060526129,658.24416423881,60.4490500863558,0
"22448",12815,1,762,37,NA,37,291,"03,3",43,147,151,3,2,12.5,NA,1.762,"IFN2","1_762","1_762","1_762_37","IFN2_1_762_37",14.9,31.8309886183791,174.366246255868,83.8926174496644,0
"22449",12816,1,762,38,NA,38,294,"05,6",21,252,261,2,2,12,NA,1.762,"IFN2","1_762","1_762","1_762_38","IFN2_1_762_38",25.65,14.1471060526129,516.731123157858,46.7836257309942,0
"22450",12817,1,762,39,4,39,302,"10,9",21,363,360,2,2,17.5,NA,1.762,"IFN2","1_762","1_762","1_762_39","IFN2_1_762_39",36.15,14.1471060526129,1026.37599138646,48.4094052558783,0
"22451",12818,1,762,40,NA,40,318,"14,0",21,330,323,2,2,15.5,NA,1.762,"IFN2","1_762","1_762","1_762_40","IFN2_1_762_40",32.65,14.1471060526129,837.252113640356,47.4732006125574,0
"22452",12819,1,762,41,NA,41,318,"00,8",43,120,132,3,2,10,NA,1.762,"IFN2","1_762","1_762","1_762_41","IFN2_1_762_41",12.6,31.8309886183791,124.689812420979,79.3650793650794,0
"22453",12820,1,762,42,NA,42,329,"08,8",21,251,260,2,2,17.5,NA,1.762,"IFN2","1_762","1_762","1_762_42","IFN2_1_762_42",25.55,14.1471060526129,512.709884561263,68.4931506849315,0
"22454",12821,1,762,43,NA,43,339,"11,6",21,327,308,2,2,17.5,NA,1.762,"IFN2","1_762","1_762","1_762_43","IFN2_1_762_43",31.75,14.1471060526129,791.73043608984,55.1181102362205,0
"22455",12822,1,762,44,NA,44,349,"02,1",21,280,272,2,2,16.5,NA,1.762,"IFN2","1_762","1_762","1_762_44","IFN2_1_762_44",27.6,14.1471060526129,598.28490494964,59.7826086956522,0
"22456",12823,1,762,45,NA,45,353,"08,1",43,192,196,2,2,15,NA,1.762,"IFN2","1_762","1_762","1_762_45","IFN2_1_762_45",19.4,31.8309886183791,295.592452776264,77.319587628866,0
"22457",12824,1,762,46,NA,46,360,"12,9",43,257,250,2,2,17,NA,1.762,"IFN2","1_762","1_762","1_762_46","IFN2_1_762_46",25.35,14.1471060526129,504.714531257877,67.0611439842209,0
"22458",12825,1,762,47,NA,47,360,"06,3",43,236,251,2,2,15.5,NA,1.762,"IFN2","1_762","1_762","1_762_47","IFN2_1_762_47",24.35,14.1471060526129,465.680242537024,63.6550308008214,0
"22459",12826,1,762,48,NA,48,372,"18,4",43,635,549,2,4,18,NA,1.762,"IFN2","1_762","1_762","1_762_48","IFN2_1_762_48",59.2,5.09295817894065,2752.53781936923,30.4054054054054,0
"22460",12827,1,762,49,NA,49,374,"07,1",43,140,130,3,5,12,NA,1.762,"IFN2","1_762","1_762","1_762_49","IFN2_1_762_49",13.5,31.8309886183791,143.138815279185,88.8888888888889,0
"22461",12828,1,762,50,NA,50,381,"08,3",43,183,190,2,2,14,NA,1.762,"IFN2","1_762","1_762","1_762_50","IFN2_1_762_50",18.65,31.8309886183791,273.179152688309,75.0670241286863,0
"22462",12829,1,762,51,NA,51,395,"12,3",43,242,211,2,2,14,NA,1.762,"IFN2","1_762","1_762","1_762_51","IFN2_1_762_51",22.65,14.1471060526129,402.926929281567,61.8101545253863,0
"22463",52800,5,701,1,1,1,11,"12.5",21,370,400,2,2,19.5,NA,5.701,"IFN2","5_701","5_701","5_701_1","IFN2_5_701_1",38.5,14.1471060526129,1164.15642769587,50.6493506493507,0
"22464",52801,5,701,2,NA,2,29,"13.5",21,360,340,2,2,18,NA,5.701,"IFN2","5_701","5_701","5_701_2","IFN2_5_701_2",35,14.1471060526129,962.112750161874,51.4285714285714,0
"22465",52802,5,701,3,NA,3,33,"13.9",21,340,330,2,2,18,NA,5.701,"IFN2","5_701","5_701","5_701_3","IFN2_5_701_3",33.5,14.1471060526129,881.413088872786,53.7313432835821,0
"22466",52803,5,701,4,NA,4,63,"9.3",21,325,310,2,2,15.5,NA,5.701,"IFN2","5_701","5_701","5_701_4","IFN2_5_701_4",31.75,14.1471060526129,791.73043608984,48.8188976377953,0
"22467",52804,5,701,5,NA,5,66,"12.4",21,375,390,2,2,18.5,NA,5.701,"IFN2","5_701","5_701","5_701_5","IFN2_5_701_5",38.25,14.1471060526129,1149.08660043568,48.3660130718954,0
"22468",52805,5,701,6,NA,6,80,"14.4",21,430,460,2,2,19.5,NA,5.701,"IFN2","5_701","5_701","5_701_6","IFN2_5_701_6",44.5,5.09295817894065,1555.2847130678,43.8202247191011,0
"22469",52806,5,701,7,NA,7,266,"1.0",43,85,86,2,5,7,NA,5.701,"IFN2","5_701","5_701","5_701_7","IFN2_5_701_7",8.55,127.323954473516,57.414569239762,81.8713450292398,0
"22470",52807,5,701,8,NA,8,285,"0.9",43,85,84,2,5,8,NA,5.701,"IFN2","5_701","5_701","5_701_8","IFN2_5_701_8",8.45,127.323954473516,56.0793923619863,94.6745562130178,0
"22471",52808,5,701,9,NA,9,290,"2.3",43,81,80,2,5,6.5,NA,5.701,"IFN2","5_701","5_701","5_701_9","IFN2_5_701_9",8.05,127.323954473516,50.8957644835631,80.7453416149068,0
"22472",52809,5,701,10,NA,10,340,"3.7",43,80,83,2,5,7,NA,5.701,"IFN2","5_701","5_701","5_701_10","IFN2_5_701_10",8.15,127.323954473516,52.168109508267,85.8895705521472,0
"22473",52810,5,701,11,2,11,344,"2.8",21,364,370,2,2,13.5,NA,5.701,"IFN2","5_701","5_701","5_701_11","IFN2_5_701_11",36.7,14.1471060526129,1057.84493229839,36.7847411444142,0
"22474",52811,5,701,12,3,12,374,"22.4",21,430,445,2,2,22.5,NA,5.701,"IFN2","5_701","5_701","5_701_12","IFN2_5_701_12",43.75,5.09295817894065,1503.30117212793,51.4285714285714,0
"22475",52812,5,701,13,4,13,378,"19.4",21,434,460,2,2,23,NA,5.701,"IFN2","5_701","5_701","5_701_13","IFN2_5_701_13",44.7,5.09295817894065,1569.29621630281,51.4541387024608,0
"22476",52813,5,701,14,NA,14,394,"1.1",43,110,115,2,4,7,NA,5.701,"IFN2","5_701","5_701","5_701_14","IFN2_5_701_14",11.25,127.323954473516,99.4019550549895,62.2222222222222,0
"22477",85693,8,7,1,1,1,23,"12.0",21,280,283,2,2,8.5,NA,8.7,"IFN2","8_7","8_7","8_7_1","IFN2_8_7_1",28.15,14.1471060526129,622.367176134814,30.1953818827709,0
"22478",85694,8,7,2,NA,2,41,"14.9",21,267,274,2,2,10,NA,8.7,"IFN2","8_7","8_7","8_7_2","IFN2_8_7_2",27.05,14.1471060526129,574.677799653321,36.9685767097967,0
"22479",85695,8,7,3,NA,3,69,"21.6",43,471,462,2,5,10,NA,8.7,"IFN2","8_7","8_7","8_7_3","IFN2_8_7_3",46.65,5.09295817894065,1709.2011546442,21.4362272240086,0
"22480",85696,8,7,4,NA,4,70,"5.9",21,292,305,2,2,9,NA,8.7,"IFN2","8_7","8_7","8_7_4","IFN2_8_7_4",29.85,14.1471060526129,699.807435045803,30.1507537688442,0
"22482",85698,8,7,6,NA,6,90,"12.0",21,248,258,2,2,11,NA,8.7,"IFN2","8_7","8_7","8_7_6","IFN2_8_7_6",25.3,14.1471060526129,502.725510409073,43.4782608695652,0
"22483",85699,8,7,7,3,7,112,"16.0",21,272,283,2,2,11,NA,8.7,"IFN2","8_7","8_7","8_7_7","IFN2_8_7_7",27.75,14.1471060526129,604.805673201247,39.6396396396396,0
