"","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","PlotID0","CoorX","CoorY","Origen"
"64987",32,1172,13,892411,NA,NA,NA,NA,NA,"S",891312,NA,"0228","1","0228K04","657","4682","87","015","6","6","0","0","07","07","3","5","9","1","80","70","72","41","0","8","4","3","40","72","0","2","4","4",NA,NA,NA,NA,NA,NA,"41","3","6",NA,"72","3","6",NA,NA,NA,NA,NA,"41","72",NA,NA,NA,NA,NA,"2","03","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","129","358","10.00","6.25","32.1172",657000,4682000,32
"65019",32,1221,14,891511,NA,NA,NA,NA,NA,"S",892911,NA,"0263","1","0263J07","581","4668","87","024","6","6","0","0","05","05","2","4","9","1","80","95","26","72","9","4","4","4","43","41","1","4","4","4",NA,"73",NA,"1",NA,"4","72","3","6",NA,"41","3","6",NA,"73","3","6",NA,"72","41","73","26","55","54",NA,"2","08","G","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","9",NA,"P405","P406","300",NA,"04.50",NA,"32.1221",581000,4668000,32
"65021",32,1223,9,891511,NA,NA,NA,NA,NA,"S",892911,NA,"0263","1","0263J09","585","4668","87","024","6","6","0","0","06","06","3","4","9","1","60","60","26","72","9","7","3","4","43","43","1","1","4","4",NA,"41",NA,"1",NA,"4","72","3","6",NA,"43","3","6",NA,"41","3","6",NA,"72","43","41","73","95","97","61","2","08","G","17",NA,NA,NA,"1","1","2",NA,"0",NA,"0","9",NA,NA,"P406","110",NA,"04.50",NA,"32.1223",585000,4668000,32
"66070",33,807,1,902105,NA,NA,NA,NA,NA,"5",900806,NA,"0011","1","0110761","035","0012","88","005",NA,NA,NA,NA,NA,"02",NA,"5",NA,"1",NA,"90",NA,"72",NA,"6",NA,"3",NA,"74",NA,"2",NA,"3",NA,"41",NA,"1",NA,"3","72","3","6",NA,"74","3","6",NA,"41","3","6",NA,"72","74","41","55","76","99","56","2","03","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,NA,"P906","150",NA,"13.00",NA,"33.807",35000,12000,33
"66075",33,813,3,902105,NA,NA,NA,NA,NA,"5",900806,NA,"0011","1","0110766","038","0013","89","026",NA,NA,NA,NA,NA,"02",NA,"5",NA,"1",NA,"80",NA,"72",NA,"5",NA,"4",NA,"41",NA,"3",NA,"4",NA,"74",NA,"2",NA,"3","72","3","6",NA,"41","3","6",NA,"74","3","6",NA,"72","41","74","26","94","65","99","2","08","G","17",NA,NA,NA,"1","1","3",NA,"0",NA,"0","9",NA,"P402","P906","010",NA,"12.75",NA,"33.813",38000,13000,33
"66086",33,825,3,902205,NA,NA,NA,NA,NA,"5",900806,NA,"0011","1","0110785","038","0014","89","066",NA,NA,NA,NA,NA,"02",NA,"4",NA,"1",NA,"85",NA,"72",NA,"6",NA,"4",NA,"41",NA,"2",NA,"4",NA,"51",NA,"1",NA,"4","72","3","6",NA,"41","3","6",NA,"51","3","6",NA,"72","41","51","74","57","99",NA,"3","01","W","19",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,NA,"M906","197",NA,"04.50",NA,"33.825",38000,14000,33
"66103",33,842,3,902205,NA,NA,NA,NA,NA,"5",900806,NA,"0011","1","0110804","004","0016","89","049",NA,NA,NA,NA,NA,"01",NA,"5",NA,"1",NA,"75",NA,"41",NA,"5",NA,"4",NA,"72",NA,"4",NA,"4",NA,"74",NA,"1",NA,"2","41","3","6",NA,"72","3","6",NA,"74","3","6",NA,"41","72","74","73","99","65",NA,"3","03","W","20",NA,NA,NA,"1","1","2",NA,"0","4","1","4","M303","M403","G112","342","153","9.50","6.00","33.842",4000,16000,33
"66104",33,843,1,902205,NA,NA,NA,NA,NA,"5",900706,NA,"0011","1","0110804","020","0001","89","049",NA,NA,NA,NA,NA,"04",NA,"5",NA,"1",NA,"70",NA,"72",NA,"7",NA,"4",NA,"41",NA,"2",NA,"4",NA,"65",NA,"1",NA,"3","72","3","6",NA,"41","3","6",NA,"65","3","6",NA,"72","41","65","73","99","57","55","2","07","G","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","4",NA,"P403","G906","67",NA,"11.50",NA,"33.843",20000,1000,33
"66118",33,857,3,902205,NA,NA,NA,NA,NA,"5",900806,NA,"0011","1","0110817","005","0053","88","012",NA,NA,NA,NA,NA,"03",NA,"5",NA,"1",NA,"99",NA,"41",NA,"4",NA,"4",NA,"72",NA,"4",NA,"4",NA,"65",NA,"1",NA,"2","41","3","6",NA,"72","3","6",NA,"65","3","6",NA,"41","71","65","72","74",NA,NA,"3","03","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0","P814","P906","P412","95",NA,"16.00",NA,"33.857",5000,53000,33
"66132",33,871,3,902205,NA,NA,NA,NA,NA,"6",900706,NA,"0011","1","0110839","005","0026","88","036",NA,NA,NA,NA,NA,"00",NA,"4",NA,"1",NA,"70",NA,"41",NA,"6",NA,"4",NA,"74",NA,"2",NA,"2",NA,"72",NA,"2",NA,"4","41","3","6",NA,"74","3","6",NA,"72","3","6",NA,"41","72","74","65","76","54","99","3","08","G","16",NA,NA,NA,"1","1","3",NA,"0",NA,"0","4","M310","G906","G112","153","30","5.25","8.25","33.871",5000,26000,33
"66137",33,924,3,902205,NA,NA,NA,NA,NA,"5",900706,NA,"0012","1","0120901","037","0044","88","026",NA,NA,NA,NA,NA,"02",NA,"5",NA,"1",NA,"20",NA,"41",NA,"5",NA,"4",NA,"72",NA,"3",NA,"4",NA,"54",NA,"2",NA,"4","41","3","6",NA,"72","3","6",NA,"54","3","6",NA,"41","72","54","74","97",NA,NA,"2","03","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"P312","20",NA,"7.25",NA,"33.924",37000,44000,33
"66175",33,909,1,902305,NA,NA,NA,NA,NA,"5",900706,NA,"0012","1","0120864","006","0004","88","077",NA,NA,NA,NA,NA,"04",NA,"5",NA,"1",NA,"65",NA,"72",NA,"7",NA,"4",NA,"41",NA,"2",NA,"4",NA,NA,NA,NA,NA,NA,"72","3","6",NA,"41","3","6",NA,NA,NA,NA,NA,"72","41","99","68",NA,NA,NA,"3","07","G","16",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,"M906","P314","153",NA,"14.00",NA,"33.909",6000,4000,33
